mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,7.396,7.289,7.599
direct,128,1000,authorize,0.082,0.074,0.097
direct,128,1000,execute,4.615,4.566,4.709
direct,128,1000,filter,0.021,0.020,0.021
direct,128,1000,total,12.113,11.947,12.411
direct,1024,1000,validate,7.206,7.067,7.391
direct,1024,1000,authorize,0.087,0.086,0.101
direct,1024,1000,execute,5.492,5.430,5.637
direct,1024,1000,filter,0.021,0.021,0.025
direct,1024,1000,total,12.807,12.601,13.748
direct,16384,1000,validate,9.064,7.132,8.586
direct,16384,1000,authorize,0.085,0.082,0.109
direct,16384,1000,execute,21.773,21.175,23.161
direct,16384,1000,filter,0.022,0.021,0.028
direct,16384,1000,total,30.945,28.413,31.289
approval,128,1000,validate,7.067,6.979,7.224
approval,128,1000,authorize,0.077,0.072,0.091
approval,128,1000,execute,4.357,4.310,4.430
approval,128,1000,filter,0.020,0.019,0.021
approval,128,1000,total,11.522,11.387,12.070
approval,1024,1000,validate,7.275,7.102,7.697
approval,1024,1000,authorize,0.090,0.089,0.108
approval,1024,1000,execute,5.544,5.451,5.859
approval,1024,1000,filter,0.027,0.027,0.032
approval,1024,1000,total,12.936,12.664,14.108
approval,16384,1000,validate,8.076,7.168,8.582
approval,16384,1000,authorize,0.087,0.084,0.109
approval,16384,1000,execute,21.551,21.133,23.111
approval,16384,1000,filter,0.022,0.022,0.026
approval,16384,1000,total,29.736,28.402,31.365
otp,128,1000,validate,7.172,7.076,7.406
otp,128,1000,authorize,0.075,0.073,0.084
otp,128,1000,execute,4.439,4.394,4.556
otp,128,1000,filter,0.021,0.020,0.029
otp,128,1000,total,11.707,11.574,12.414
otp,1024,1000,validate,7.166,7.073,7.308
otp,1024,1000,authorize,0.077,0.072,0.090
otp,1024,1000,execute,5.457,5.393,5.531
otp,1024,1000,filter,0.020,0.019,0.021
otp,1024,1000,total,12.721,12.566,13.746
otp,16384,1000,validate,8.611,7.174,8.517
otp,16384,1000,authorize,0.082,0.075,0.105
otp,16384,1000,execute,21.456,21.044,22.983
otp,16384,1000,filter,0.022,0.022,0.027
otp,16384,1000,total,30.171,28.305,31.177
anon,128,1000,validate,7.186,7.115,7.346
anon,128,1000,authorize,0.090,0.083,0.104
anon,128,1000,execute,4.409,4.368,4.470
anon,128,1000,filter,1.655,1.635,1.703
anon,128,1000,total,13.340,13.206,13.810
anon,1024,1000,validate,7.423,7.231,7.593
anon,1024,1000,authorize,0.099,0.098,0.114
anon,1024,1000,execute,5.518,5.425,5.706
anon,1024,1000,filter,9.030,8.931,9.391
anon,1024,1000,total,22.070,21.671,23.463
anon,16384,1000,validate,8.845,7.358,8.971
anon,16384,1000,authorize,0.093,0.088,0.126
anon,16384,1000,execute,21.441,21.109,22.738
anon,16384,1000,filter,126.322,125.103,130.717
anon,16384,1000,total,156.701,153.785,163.259
