protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armA_fixed_none,s5,direct,128B,128,1000,0,0,12.113,11.947,12.411,15.247,11.934,11.956
E2_armA_fixed_none,s5,direct,1KiB,1024,1000,0,1,12.807,12.601,13.748,16.399,12.587,12.611
E2_armA_fixed_none,s5,direct,16KiB,16384,1000,0,2,30.945,28.413,31.289,39.574,28.383,28.434
E2_armA_fixed_none,s5,approval,128B,128,1000,0,3,11.522,11.387,12.070,13.206,11.381,11.393
E2_armA_fixed_none,s5,approval,1KiB,1024,1000,0,4,12.936,12.664,14.108,16.057,12.627,12.732
E2_armA_fixed_none,s5,approval,16KiB,16384,1000,0,5,29.736,28.402,31.365,49.759,28.373,28.434
E2_armA_fixed_none,s5,otp,128B,128,1000,0,6,11.707,11.574,12.414,13.931,11.542,11.600
E2_armA_fixed_none,s5,otp,1KiB,1024,1000,0,7,12.721,12.566,13.746,14.790,12.560,12.572
E2_armA_fixed_none,s5,otp,16KiB,16384,1000,0,8,30.171,28.305,31.177,58.317,28.267,28.347
E2_armA_fixed_none,s5,anon,128B,128,1000,0,9,13.340,13.206,13.810,15.215,13.197,13.213
E2_armA_fixed_none,s5,anon,1KiB,1024,1000,0,10,22.070,21.671,23.463,25.784,21.656,21.696
E2_armA_fixed_none,s5,anon,16KiB,16384,1000,0,11,156.701,153.785,163.259,211.514,153.601,153.937
