mode,bytes,iterations,stage,mean_us,p50_us,p95_us
approval,1024,1000,validate,7.809,7.387,11.339
approval,1024,1000,authorize,0.092,0.087,0.136
approval,1024,1000,execute,5.882,5.627,8.030
approval,1024,1000,filter,0.022,0.021,0.030
approval,1024,1000,total,13.806,13.138,19.589
otp,128,1000,validate,7.329,7.284,7.441
otp,128,1000,authorize,0.088,0.087,0.098
otp,128,1000,execute,4.471,4.438,4.523
otp,128,1000,filter,0.020,0.020,0.022
otp,128,1000,total,11.908,11.832,12.041
anon,128,1000,validate,7.544,7.322,8.289
anon,128,1000,authorize,0.107,0.090,0.105
anon,128,1000,execute,4.567,4.444,4.701
anon,128,1000,filter,1.691,1.654,1.742
anon,128,1000,total,13.910,13.497,15.211
anon,16384,1000,validate,8.380,7.581,9.844
anon,16384,1000,authorize,0.104,0.098,0.158
anon,16384,1000,execute,22.894,21.615,24.001
anon,16384,1000,filter,129.587,128.389,136.034
anon,16384,1000,total,160.965,157.857,168.474
otp,16384,1000,validate,7.644,7.384,8.652
otp,16384,1000,authorize,0.088,0.086,0.115
otp,16384,1000,execute,22.156,21.572,23.648
otp,16384,1000,filter,0.022,0.022,0.027
otp,16384,1000,total,29.911,29.067,32.068
approval,128,1000,validate,7.307,7.252,7.405
approval,128,1000,authorize,0.088,0.089,0.096
approval,128,1000,execute,4.486,4.451,4.542
approval,128,1000,filter,0.022,0.022,0.024
approval,128,1000,total,11.903,11.809,12.016
otp,1024,1000,validate,7.357,7.288,7.475
otp,1024,1000,authorize,0.083,0.080,0.096
otp,1024,1000,execute,5.564,5.505,5.628
otp,1024,1000,filter,0.021,0.021,0.024
otp,1024,1000,total,13.025,12.895,13.223
approval,16384,1000,validate,7.723,7.385,8.684
approval,16384,1000,authorize,0.087,0.085,0.114
approval,16384,1000,execute,28.151,21.547,23.490
approval,16384,1000,filter,0.023,0.022,0.027
approval,16384,1000,total,35.984,29.041,32.232
direct,1024,1000,validate,7.427,7.262,7.643
direct,1024,1000,authorize,0.089,0.089,0.102
direct,1024,1000,execute,5.631,5.536,5.795
direct,1024,1000,filter,0.021,0.020,0.024
direct,1024,1000,total,13.168,12.903,14.193
anon,1024,1000,validate,7.486,7.379,7.608
anon,1024,1000,authorize,0.091,0.090,0.105
anon,1024,1000,execute,5.579,5.531,5.664
anon,1024,1000,filter,9.118,9.055,9.334
anon,1024,1000,total,22.274,22.062,22.973
direct,16384,1000,validate,7.632,7.409,8.350
direct,16384,1000,authorize,0.090,0.087,0.112
direct,16384,1000,execute,27.876,21.498,23.003
direct,16384,1000,filter,0.022,0.022,0.025
direct,16384,1000,total,35.621,29.024,31.883
direct,128,1000,validate,7.235,7.187,7.330
direct,128,1000,authorize,0.086,0.088,0.096
direct,128,1000,execute,4.531,4.450,4.520
direct,128,1000,filter,0.020,0.020,0.021
direct,128,1000,total,11.873,11.743,11.937
