session,label,scope_set_size,payload,bytes,order_index,stage,n,mean_us,p50_us,p95_us,p99_us
s2,scope_0_unscoped,0,128B,128,0,execute_vault,1000,4.949,4.894,5.099,7.307
s2,scope_0_unscoped,0,128B,128,0,filter_pii,1000,0.348,0.343,0.383,0.448
s2,scope_0_unscoped,0,128B,128,0,total,1000,13.741,13.531,14.299,20.596
s2,scope_0_unscoped,0,1KiB,1024,0,validate_plus_scope_check,1000,8.895,8.321,13.628,14.998
s2,scope_0_unscoped,0,1KiB,1024,0,authorize_hitl,1000,0.153,0.146,0.202,0.272
s2,scope_0_unscoped,0,1KiB,1024,0,execute_vault,1000,6.462,6.082,9.403,10.635
s2,scope_0_unscoped,0,1KiB,1024,0,filter_pii,1000,1.030,0.973,1.470,1.743
s2,scope_0_unscoped,0,1KiB,1024,0,total,1000,16.540,15.551,24.776,27.881
s2,scope_0_unscoped,0,16KiB,16384,0,validate_plus_scope_check,1000,8.171,8.009,8.723,10.720
s2,scope_0_unscoped,0,16KiB,16384,0,authorize_hitl,1000,0.137,0.134,0.149,0.179
s2,scope_0_unscoped,0,16KiB,16384,0,execute_vault,1000,21.669,21.603,22.882,24.751
s2,scope_0_unscoped,0,16KiB,16384,0,filter_pii,1000,10.014,9.976,10.311,12.428
s2,scope_0_unscoped,0,16KiB,16384,0,total,1000,39.991,39.813,42.256,45.008
s2,scope_1_small,1,128B,128,1,validate_plus_scope_check,1000,8.092,8.035,8.397,9.665
s2,scope_1_small,1,128B,128,1,authorize_hitl,1000,0.142,0.138,0.168,0.184
s2,scope_1_small,1,128B,128,1,execute_vault,1000,4.725,4.701,4.842,6.019
s2,scope_1_small,1,128B,128,1,filter_pii,1000,0.319,0.317,0.338,0.363
s2,scope_1_small,1,128B,128,1,total,1000,13.277,13.206,13.781,15.415
s2,scope_1_small,1,1KiB,1024,1,validate_plus_scope_check,1000,8.108,8.025,8.406,10.131
s2,scope_1_small,1,1KiB,1024,1,authorize_hitl,1000,0.143,0.137,0.154,0.172
s2,scope_1_small,1,1KiB,1024,1,execute_vault,1000,5.830,5.783,5.988,7.218
s2,scope_1_small,1,1KiB,1024,1,filter_pii,1000,0.888,0.882,0.913,0.956
s2,scope_1_small,1,1KiB,1024,1,total,1000,14.969,14.830,15.768,17.471
s2,scope_1_small,1,16KiB,16384,1,validate_plus_scope_check,1000,8.578,8.279,9.701,13.922
s2,scope_1_small,1,16KiB,16384,1,authorize_hitl,1000,0.150,0.144,0.189,0.281
s2,scope_1_small,1,16KiB,16384,1,execute_vault,1000,22.143,21.803,23.486,27.093
s2,scope_1_small,1,16KiB,16384,1,filter_pii,1000,10.102,10.002,10.413,12.359
s2,scope_1_small,1,16KiB,16384,1,total,1000,40.973,40.231,43.594,50.770
s2,scope_20_large,20,128B,128,2,validate_plus_scope_check,1000,10.709,10.405,11.436,16.807
s2,scope_20_large,20,128B,128,2,authorize_hitl,1000,0.175,0.168,0.188,0.304
s2,scope_20_large,20,128B,128,2,execute_vault,1000,4.853,4.797,4.985,6.292
s2,scope_20_large,20,128B,128,2,filter_pii,1000,0.334,0.325,0.356,0.492
s2,scope_20_large,20,128B,128,2,total,1000,16.071,15.712,17.127,23.236
s2,scope_20_large,20,1KiB,1024,2,validate_plus_scope_check,1000,10.447,10.158,12.224,18.014
s2,scope_20_large,20,1KiB,1024,2,authorize_hitl,1000,0.193,0.184,0.208,0.331
s2,scope_20_large,20,1KiB,1024,2,execute_vault,1000,6.060,5.912,7.328,9.681
s2,scope_20_large,20,1KiB,1024,2,filter_pii,1000,0.948,0.925,0.991,1.577
s2,scope_20_large,20,1KiB,1024,2,total,1000,17.648,17.180,19.786,29.157
s2,scope_20_large,20,16KiB,16384,2,validate_plus_scope_check,1000,10.755,10.484,11.998,19.056
s2,scope_20_large,20,16KiB,16384,2,authorize_hitl,1000,0.173,0.166,0.195,0.321
s2,scope_20_large,20,16KiB,16384,2,execute_vault,1000,22.069,21.772,23.673,29.577
s2,scope_20_large,20,16KiB,16384,2,filter_pii,1000,10.124,10.009,10.577,13.489
s2,scope_20_large,20,16KiB,16384,2,total,1000,43.123,42.443,45.683,60.889
s3,scope_0_unscoped,0,128B,128,0,validate_plus_scope_check,1000,8.420,8.255,9.142,14.082
s3,scope_0_unscoped,0,128B,128,0,authorize_hitl,1000,0.145,0.139,0.164,0.244
s3,scope_0_unscoped,0,128B,128,0,execute_vault,1000,5.002,4.924,5.233,8.136
s3,scope_0_unscoped,0,128B,128,0,filter_pii,1000,0.355,0.348,0.394,0.573
s3,scope_0_unscoped,0,128B,128,0,total,1000,13.923,13.701,15.066,20.808
s3,scope_0_unscoped,0,1KiB,1024,0,validate_plus_scope_check,1000,8.292,8.139,8.964,11.863
s3,scope_0_unscoped,0,1KiB,1024,0,authorize_hitl,1000,0.151,0.148,0.162,0.181
s3,scope_0_unscoped,0,1KiB,1024,0,execute_vault,1000,5.963,5.890,6.179,8.284
s3,scope_0_unscoped,0,1KiB,1024,0,filter_pii,1000,0.954,0.945,0.995,1.101
s3,scope_0_unscoped,0,1KiB,1024,0,total,1000,15.360,15.119,16.586,19.956
s3,scope_0_unscoped,0,16KiB,16384,0,validate_plus_scope_check,1000,8.957,8.855,9.575,12.834
s3,scope_0_unscoped,0,16KiB,16384,0,authorize_hitl,1000,0.161,0.158,0.182,0.204
s3,scope_0_unscoped,0,16KiB,16384,0,execute_vault,1000,22.078,21.900,22.484,25.781
s3,scope_0_unscoped,0,16KiB,16384,0,filter_pii,1000,10.105,10.052,10.258,12.793
s3,scope_0_unscoped,0,16KiB,16384,0,total,1000,41.301,40.976,43.373,46.520
s3,scope_1_small,1,128B,128,1,validate_plus_scope_check,1000,8.399,8.154,9.308,13.197
s3,scope_1_small,1,128B,128,1,authorize_hitl,1000,0.151,0.142,0.184,0.231
s3,scope_1_small,1,128B,128,1,execute_vault,1000,4.957,4.806,5.007,7.822
s3,scope_1_small,1,128B,128,1,filter_pii,1000,0.331,0.325,0.364,0.510
s3,scope_1_small,1,128B,128,1,total,1000,13.838,13.431,15.323,21.382
s3,scope_1_small,1,1KiB,1024,1,validate_plus_scope_check,1000,8.740,8.680,9.304,11.756
s3,scope_1_small,1,1KiB,1024,1,authorize_hitl,1000,0.149,0.147,0.175,0.199
s3,scope_1_small,1,1KiB,1024,1,execute_vault,1000,6.067,6.001,6.247,8.453
s3,scope_1_small,1,1KiB,1024,1,filter_pii,1000,0.919,0.909,0.954,1.159
s3,scope_1_small,1,1KiB,1024,1,total,1000,15.875,15.750,16.977,19.904
s3,scope_1_small,1,16KiB,16384,1,validate_plus_scope_check,1000,9.159,9.028,9.778,12.271
s3,scope_1_small,1,16KiB,16384,1,authorize_hitl,1000,0.160,0.159,0.182,0.203
s3,scope_1_small,1,16KiB,16384,1,execute_vault,1000,22.101,21.944,22.844,25.526
s3,scope_1_small,1,16KiB,16384,1,filter_pii,1000,10.118,10.053,10.315,12.990
s3,scope_1_small,1,16KiB,16384,1,total,1000,41.537,41.191,44.164,46.438
s3,scope_20_large,20,128B,128,2,validate_plus_scope_check,1000,11.028,10.873,11.499,13.990
s3,scope_20_large,20,128B,128,2,authorize_hitl,1000,0.188,0.188,0.211,0.224
s3,scope_20_large,20,128B,128,2,execute_vault,1000,4.875,4.857,4.952,5.410
s3,scope_20_large,20,128B,128,2,filter_pii,1000,0.343,0.339,0.368,0.391
s3,scope_20_large,20,128B,128,2,total,1000,16.435,16.263,16.968,19.894
s3,scope_20_large,20,1KiB,1024,2,validate_plus_scope_check,1000,10.731,10.553,11.651,15.231
s3,scope_20_large,20,1KiB,1024,2,authorize_hitl,1000,0.193,0.190,0.218,0.247
s3,scope_20_large,20,1KiB,1024,2,execute_vault,1000,6.117,5.978,6.441,9.389
s3,scope_20_large,20,1KiB,1024,2,filter_pii,1000,0.956,0.945,1.005,1.314
s3,scope_20_large,20,1KiB,1024,2,total,1000,17.997,17.650,19.825,24.777
s3,scope_20_large,20,16KiB,16384,2,validate_plus_scope_check,1000,10.495,10.377,11.114,12.435
s3,scope_20_large,20,16KiB,16384,2,authorize_hitl,1000,0.159,0.158,0.174,0.190
s3,scope_20_large,20,16KiB,16384,2,execute_vault,1000,21.696,21.504,22.924,24.179
