protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armA_fixed_none,s5,otp,1KiB,1024,1000,0,7,12.721,12.566,13.746,14.790,12.560,12.572
E2_armA_fixed_none,s5,otp,16KiB,16384,1000,0,8,30.171,28.305,31.177,58.317,28.267,28.347
E2_armA_fixed_none,s5,anon,128B,128,1000,0,9,13.340,13.206,13.810,15.215,13.197,13.213
E2_armA_fixed_none,s5,anon,1KiB,1024,1000,0,10,22.070,21.671,23.463,25.784,21.656,21.696
E2_armA_fixed_none,s5,anon,16KiB,16384,1000,0,11,156.701,153.785,163.259,211.514,153.601,153.937
E2_armB_fixed_discarded,s1,direct,128B,128,1000,200,0,12.928,11.986,19.231,23.068,11.964,12.001
E2_armB_fixed_discarded,s1,direct,1KiB,1024,1000,200,1,13.057,12.865,13.407,18.290,12.857,12.874
E2_armB_fixed_discarded,s1,direct,16KiB,16384,1000,200,2,37.225,29.116,34.043,65.854,29.104,29.137
E2_armB_fixed_discarded,s1,approval,128B,128,1000,200,3,12.111,11.830,12.583,20.372,11.821,11.837
E2_armB_fixed_discarded,s1,approval,1KiB,1024,1000,200,4,13.003,12.857,13.196,16.928,12.848,12.863
E2_armB_fixed_discarded,s1,approval,16KiB,16384,1000,200,5,35.964,29.094,32.669,47.228,29.083,29.116
E2_armB_fixed_discarded,s1,otp,128B,128,1000,200,6,11.887,11.785,12.020,14.889,11.779,11.792
E2_armB_fixed_discarded,s1,otp,1KiB,1024,1000,200,7,13.180,12.914,13.895,19.836,12.907,12.922
E2_armB_fixed_discarded,s1,otp,16KiB,16384,1000,200,8,30.351,29.078,32.784,45.396,29.061,29.090
E2_armB_fixed_discarded,s1,anon,128B,128,1000,200,9,13.762,13.554,14.302,20.392,13.545,13.561
E2_armB_fixed_discarded,s1,anon,1KiB,1024,1000,200,10,22.267,22.081,23.077,26.304,22.073,22.095
E2_armB_fixed_discarded,s1,anon,16KiB,16384,1000,200,11,160.229,157.734,169.102,212.652,157.542,157.992
E2_armB_fixed_discarded,s2,direct,128B,128,1000,200,0,12.134,11.906,12.683,14.782,11.874,11.941
E2_armB_fixed_discarded,s2,direct,1KiB,1024,1000,200,1,13.265,13.209,13.460,15.055,13.201,13.217
E2_armB_fixed_discarded,s2,direct,16KiB,16384,1000,200,2,37.117,29.042,31.659,91.125,29.029,29.058
E2_armB_fixed_discarded,s2,approval,128B,128,1000,200,3,12.339,11.753,15.734,18.493,11.746,11.761
E2_armB_fixed_discarded,s2,approval,1KiB,1024,1000,200,4,13.064,12.917,13.195,14.956,12.908,12.924
E2_armB_fixed_discarded,s2,approval,16KiB,16384,1000,200,5,35.970,29.009,32.432,56.576,28.994,29.020
E2_armB_fixed_discarded,s2,otp,128B,128,1000,200,6,11.849,11.740,12.008,13.322,11.734,11.748
E2_armB_fixed_discarded,s2,otp,1KiB,1024,1000,200,7,13.106,12.885,13.279,16.677,12.879,12.892
E2_armB_fixed_discarded,s2,otp,16KiB,16384,1000,200,8,30.280,28.984,32.071,50.559,28.971,28.997
E2_armB_fixed_discarded,s2,anon,128B,128,1000,200,9,13.986,13.604,14.904,22.636,13.591,13.616
E2_armB_fixed_discarded,s2,anon,1KiB,1024,1000,200,10,22.472,22.167,23.372,25.936,22.148,22.181
E2_armB_fixed_discarded,s2,anon,16KiB,16384,1000,200,11,160.226,158.259,165.523,223.854,157.936,158.496
E2_armB_fixed_discarded,s3,direct,128B,128,1000,200,0,12.725,12.049,18.591,20.684,12.033,12.071
E2_armB_fixed_discarded,s3,direct,1KiB,1024,1000,200,1,13.360,12.791,15.453,22.379,12.751,12.832
E2_armB_fixed_discarded,s3,direct,16KiB,16384,1000,200,2,36.195,28.423,31.027,43.091,28.409,28.436
E2_armB_fixed_discarded,s3,approval,128B,128,1000,200,3,11.616,11.510,11.952,13.617,11.504,11.517
E2_armB_fixed_discarded,s3,approval,1KiB,1024,1000,200,4,12.679,12.583,12.993,14.669,12.576,12.592
