mode,bytes,iterations,stage,mean_us,p50_us,p95_us
approval,16384,1000,validate,8.168,7.468,9.189
approval,16384,1000,authorize,0.084,0.080,0.102
approval,16384,1000,execute,29.070,21.989,24.190
approval,16384,1000,filter,0.023,0.022,0.032
approval,16384,1000,total,37.346,29.597,33.186
otp,16384,1000,validate,7.567,7.148,8.837
otp,16384,1000,authorize,0.086,0.079,0.108
otp,16384,1000,execute,22.205,21.173,23.840
otp,16384,1000,filter,0.023,0.021,0.032
otp,16384,1000,total,29.880,28.421,32.710
approval,1024,1000,validate,7.735,7.200,10.368
approval,1024,1000,authorize,0.087,0.077,0.111
approval,1024,1000,execute,5.797,5.507,7.375
approval,1024,1000,filter,0.022,0.021,0.026
approval,1024,1000,total,13.641,12.813,17.524
direct,128,1000,validate,7.498,7.179,8.522
direct,128,1000,authorize,0.081,0.078,0.099
direct,128,1000,execute,4.583,4.469,4.768
direct,128,1000,filter,0.021,0.021,0.023
direct,128,1000,total,12.184,11.731,13.400
anon,1024,1000,validate,7.303,7.188,7.539
anon,1024,1000,authorize,0.086,0.085,0.106
anon,1024,1000,execute,5.469,5.401,5.601
anon,1024,1000,filter,8.944,8.853,9.416
anon,1024,1000,total,21.801,21.532,23.214
anon,128,1000,validate,7.109,7.056,7.240
anon,128,1000,authorize,0.079,0.077,0.097
anon,128,1000,execute,4.352,4.331,4.419
anon,128,1000,filter,1.579,1.568,1.649
anon,128,1000,total,13.119,13.033,13.385
approval,128,1000,validate,7.009,6.976,7.138
approval,128,1000,authorize,0.078,0.076,0.094
approval,128,1000,execute,4.343,4.318,4.396
approval,128,1000,filter,0.020,0.020,0.022
approval,128,1000,total,11.451,11.394,11.674
otp,1024,1000,validate,7.129,7.047,7.261
otp,1024,1000,authorize,0.079,0.078,0.083
otp,1024,1000,execute,5.470,5.418,5.557
otp,1024,1000,filter,0.021,0.021,0.022
otp,1024,1000,total,12.699,12.560,12.953
direct,1024,1000,validate,7.179,7.015,7.398
direct,1024,1000,authorize,0.080,0.078,0.097
direct,1024,1000,execute,5.511,5.424,5.658
direct,1024,1000,filter,0.021,0.021,0.023
direct,1024,1000,total,12.790,12.520,13.832
direct,16384,1000,validate,7.450,7.131,8.561
direct,16384,1000,authorize,0.100,0.079,0.101
direct,16384,1000,execute,27.751,21.141,23.418
direct,16384,1000,filter,0.025,0.022,0.030
direct,16384,1000,total,35.326,28.360,32.043
anon,16384,1000,validate,7.547,7.245,8.646
anon,16384,1000,authorize,0.088,0.080,0.111
anon,16384,1000,execute,21.848,21.191,22.930
anon,16384,1000,filter,127.147,126.377,132.206
anon,16384,1000,total,156.630,154.981,163.365
otp,128,1000,validate,7.054,6.990,7.170
otp,128,1000,authorize,0.077,0.077,0.083
otp,128,1000,execute,4.359,4.335,4.409
otp,128,1000,filter,0.020,0.020,0.022
otp,128,1000,total,11.510,11.423,11.710
