mode,bytes,iterations,stage,mean_us,p50_us,p95_us
approval,1024,1000,validate,7.620,7.431,8.639
approval,1024,1000,authorize,0.096,0.091,0.107
approval,1024,1000,execute,5.860,5.725,6.165
approval,1024,1000,filter,0.022,0.021,0.023
approval,1024,1000,total,13.599,13.268,14.977
anon,128,1000,validate,7.690,7.523,7.829
anon,128,1000,authorize,0.096,0.094,0.109
anon,128,1000,execute,4.690,4.586,4.814
anon,128,1000,filter,1.744,1.725,1.804
anon,128,1000,total,14.220,13.916,15.292
otp,16384,1000,validate,8.169,7.551,8.661
otp,16384,1000,authorize,0.098,0.093,0.123
otp,16384,1000,execute,23.273,22.080,23.768
otp,16384,1000,filter,0.023,0.022,0.026
otp,16384,1000,total,31.563,29.744,32.625
anon,1024,1000,validate,8.067,7.740,11.427
anon,1024,1000,authorize,0.106,0.099,0.133
anon,1024,1000,execute,6.027,5.835,7.944
anon,1024,1000,filter,9.980,9.639,13.310
anon,1024,1000,total,24.180,23.305,31.113
anon,16384,1000,validate,8.293,7.892,9.782
anon,16384,1000,authorize,0.107,0.102,0.141
anon,16384,1000,execute,23.167,22.552,24.309
anon,16384,1000,filter,135.653,134.553,140.638
anon,16384,1000,total,167.220,165.335,173.736
direct,128,1000,validate,7.603,7.552,7.740
direct,128,1000,authorize,0.091,0.091,0.097
direct,128,1000,execute,4.688,4.664,4.765
direct,128,1000,filter,0.021,0.021,0.023
direct,128,1000,total,12.403,12.342,12.684
direct,16384,1000,validate,7.846,7.680,8.455
direct,16384,1000,authorize,0.093,0.090,0.116
direct,16384,1000,execute,28.958,22.380,23.905
direct,16384,1000,filter,0.023,0.022,0.026
direct,16384,1000,total,36.920,30.236,32.645
approval,16384,1000,validate,7.872,7.634,8.537
approval,16384,1000,authorize,0.092,0.088,0.118
approval,16384,1000,execute,28.803,22.333,23.855
approval,16384,1000,filter,0.023,0.022,0.025
approval,16384,1000,total,36.790,30.147,32.723
otp,128,1000,validate,7.596,7.526,7.757
otp,128,1000,authorize,0.102,0.099,0.108
otp,128,1000,execute,4.648,4.615,4.729
otp,128,1000,filter,0.022,0.021,0.023
otp,128,1000,total,12.368,12.240,12.610
direct,1024,1000,validate,7.613,7.557,7.734
direct,1024,1000,authorize,0.094,0.095,0.102
direct,1024,1000,execute,5.748,5.732,5.833
direct,1024,1000,filter,0.022,0.022,0.024
direct,1024,1000,total,13.477,13.420,13.678
approval,128,1000,validate,7.506,7.437,7.679
approval,128,1000,authorize,0.084,0.083,0.086
approval,128,1000,execute,4.604,4.561,4.689
approval,128,1000,filter,0.022,0.021,0.023
approval,128,1000,total,12.215,12.096,12.499
otp,1024,1000,validate,7.662,7.531,7.861
otp,1024,1000,authorize,0.090,0.087,0.099
otp,1024,1000,execute,5.804,5.734,5.910
otp,1024,1000,filter,0.022,0.022,0.025
otp,1024,1000,total,13.578,13.397,14.049
