mode,bytes,iterations,stage,mean_us,p50_us,p95_us
otp,16384,1000,validate,8.127,7.527,8.989
otp,16384,1000,authorize,0.100,0.096,0.130
otp,16384,1000,execute,23.163,22.089,23.884
otp,16384,1000,filter,0.023,0.022,0.034
otp,16384,1000,total,31.413,29.760,32.934
approval,16384,1000,validate,7.817,7.570,8.645
approval,16384,1000,authorize,0.105,0.102,0.132
approval,16384,1000,execute,28.807,22.088,23.832
approval,16384,1000,filter,0.025,0.023,0.043
approval,16384,1000,total,36.754,29.787,32.703
otp,128,1000,validate,7.554,7.496,7.743
otp,128,1000,authorize,0.096,0.096,0.109
otp,128,1000,execute,4.593,4.557,4.679
otp,128,1000,filter,0.021,0.021,0.023
otp,128,1000,total,12.265,12.158,12.548
anon,16384,1000,validate,8.139,7.829,9.448
anon,16384,1000,authorize,0.115,0.108,0.149
anon,16384,1000,execute,22.912,22.319,24.154
anon,16384,1000,filter,133.736,133.137,138.642
anon,16384,1000,total,164.901,163.662,172.485
direct,1024,1000,validate,7.866,7.580,10.198
direct,1024,1000,authorize,0.101,0.096,0.131
direct,1024,1000,execute,5.910,5.737,6.478
direct,1024,1000,filter,0.023,0.021,0.036
direct,1024,1000,total,13.900,13.442,17.661
approval,128,1000,validate,7.653,7.498,7.844
approval,128,1000,authorize,0.096,0.095,0.106
approval,128,1000,execute,4.696,4.606,4.779
approval,128,1000,filter,0.021,0.021,0.023
approval,128,1000,total,12.465,12.204,12.899
anon,1024,1000,validate,7.891,7.709,8.196
anon,1024,1000,authorize,0.105,0.100,0.120
anon,1024,1000,execute,5.780,5.703,5.876
anon,1024,1000,filter,9.552,9.426,9.838
anon,1024,1000,total,23.328,22.976,25.060
otp,1024,1000,validate,7.706,7.535,7.914
otp,1024,1000,authorize,0.093,0.091,0.104
otp,1024,1000,execute,5.828,5.704,5.924
otp,1024,1000,filter,0.021,0.021,0.023
otp,1024,1000,total,13.649,13.368,14.825
approval,1024,1000,validate,7.600,7.462,7.734
approval,1024,1000,authorize,0.092,0.090,0.102
approval,1024,1000,execute,5.735,5.645,5.845
approval,1024,1000,filter,0.021,0.021,0.023
approval,1024,1000,total,13.449,13.204,13.735
direct,16384,1000,validate,7.849,7.579,8.850
direct,16384,1000,authorize,0.095,0.090,0.126
direct,16384,1000,execute,28.903,22.121,24.380
direct,16384,1000,filter,0.023,0.022,0.029
direct,16384,1000,total,36.871,29.812,33.227
anon,128,1000,validate,7.720,7.626,7.869
anon,128,1000,authorize,0.098,0.095,0.110
anon,128,1000,execute,4.640,4.556,4.711
anon,128,1000,filter,1.744,1.717,1.815
anon,128,1000,total,14.202,13.972,15.035
direct,128,1000,validate,7.608,7.463,7.768
direct,128,1000,authorize,0.091,0.090,0.098
direct,128,1000,execute,4.672,4.579,4.774
direct,128,1000,filter,0.021,0.021,0.023
direct,128,1000,total,12.392,12.134,13.168
