mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,7.575,7.355,8.023
direct,128,1000,authorize,0.081,0.076,0.093
direct,128,1000,execute,4.699,4.582,4.899
direct,128,1000,filter,0.021,0.020,0.022
direct,128,1000,total,12.376,12.025,13.452
direct,1024,1000,validate,7.158,7.045,7.289
direct,1024,1000,authorize,0.082,0.082,0.095
direct,1024,1000,execute,5.429,5.384,5.549
direct,1024,1000,filter,0.020,0.019,0.021
direct,1024,1000,total,12.689,12.523,12.938
direct,16384,1000,validate,9.424,7.173,11.430
direct,16384,1000,authorize,0.085,0.074,0.141
direct,16384,1000,execute,22.242,21.144,25.353
direct,16384,1000,filter,0.023,0.021,0.034
direct,16384,1000,total,31.774,28.391,39.104
approval,128,1000,validate,7.192,7.046,7.341
approval,128,1000,authorize,0.077,0.073,0.084
approval,128,1000,execute,4.394,4.317,4.491
approval,128,1000,filter,0.020,0.019,0.022
approval,128,1000,total,11.684,11.450,12.042
approval,1024,1000,validate,7.167,7.059,7.287
approval,1024,1000,authorize,0.076,0.075,0.084
approval,1024,1000,execute,5.445,5.392,5.575
approval,1024,1000,filter,0.020,0.019,0.020
approval,1024,1000,total,12.708,12.543,12.982
approval,16384,1000,validate,8.201,7.164,9.821
approval,16384,1000,authorize,0.091,0.081,0.129
approval,16384,1000,execute,21.560,21.053,23.838
approval,16384,1000,filter,0.025,0.021,0.037
approval,16384,1000,total,29.877,28.315,33.445
otp,128,1000,validate,7.138,7.038,7.300
otp,128,1000,authorize,0.075,0.073,0.082
otp,128,1000,execute,4.363,4.310,4.435
otp,128,1000,filter,0.019,0.019,0.020
otp,128,1000,total,11.596,11.440,11.985
otp,1024,1000,validate,7.141,7.057,7.329
otp,1024,1000,authorize,0.073,0.072,0.081
otp,1024,1000,execute,5.427,5.366,5.515
otp,1024,1000,filter,0.019,0.019,0.020
otp,1024,1000,total,12.660,12.512,12.964
otp,16384,1000,validate,8.549,7.153,8.552
otp,16384,1000,authorize,0.079,0.074,0.104
otp,16384,1000,execute,21.499,21.109,23.213
otp,16384,1000,filter,0.022,0.021,0.023
otp,16384,1000,total,30.149,28.355,31.321
anon,128,1000,validate,7.401,7.110,7.849
anon,128,1000,authorize,0.083,0.078,0.101
anon,128,1000,execute,4.500,4.359,4.791
anon,128,1000,filter,1.682,1.635,1.788
anon,128,1000,total,13.665,13.176,14.830
anon,1024,1000,validate,7.589,7.306,8.787
anon,1024,1000,authorize,0.091,0.087,0.108
anon,1024,1000,execute,5.674,5.506,6.147
anon,1024,1000,filter,9.410,9.155,10.488
anon,1024,1000,total,22.763,22.105,25.072
anon,16384,1000,validate,8.959,7.418,10.270
anon,16384,1000,authorize,0.098,0.089,0.143
anon,16384,1000,execute,21.586,21.140,23.146
anon,16384,1000,filter,127.645,125.912,135.632
anon,16384,1000,total,158.288,154.698,167.984
