protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armA_fixed_none,s3,direct,128B,128,1000,0,0,12.158,11.778,13.324,19.623,11.772,11.784
E2_armA_fixed_none,s3,direct,1KiB,1024,1000,0,1,13.123,12.678,14.516,22.085,12.648,12.716
E2_armA_fixed_none,s3,direct,16KiB,16384,1000,0,2,31.549,28.519,34.856,51.365,28.503,28.536
E2_armA_fixed_none,s3,approval,128B,128,1000,0,3,11.636,11.511,12.006,13.332,11.505,11.517
E2_armA_fixed_none,s3,approval,1KiB,1024,1000,0,4,12.900,12.663,14.113,16.595,12.651,12.673
E2_armA_fixed_none,s3,approval,16KiB,16384,1000,0,5,29.512,28.454,30.581,43.400,28.436,28.468
E2_armA_fixed_none,s3,otp,128B,128,1000,0,6,11.770,11.583,12.926,14.404,11.577,11.590
E2_armA_fixed_none,s3,otp,1KiB,1024,1000,0,7,13.272,12.953,14.271,16.659,12.942,12.970
E2_armA_fixed_none,s3,otp,16KiB,16384,1000,0,8,29.943,28.521,30.487,57.015,28.503,28.536
E2_armA_fixed_none,s3,anon,128B,128,1000,0,9,13.574,13.396,14.682,15.950,13.388,13.403
E2_armA_fixed_none,s3,anon,1KiB,1024,1000,0,10,22.222,22.002,23.611,25.539,21.985,22.020
E2_armA_fixed_none,s3,anon,16KiB,16384,1000,0,11,157.217,155.290,161.490,195.442,155.070,155.464
