mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,7.427,7.243,7.770
direct,128,1000,authorize,0.077,0.075,0.091
direct,128,1000,execute,4.643,4.530,4.796
direct,128,1000,filter,0.021,0.020,0.022
direct,128,1000,total,12.167,11.869,13.046
direct,1024,1000,validate,7.539,7.424,7.674
direct,1024,1000,authorize,0.078,0.074,0.090
direct,1024,1000,execute,5.713,5.655,5.839
direct,1024,1000,filter,0.021,0.021,0.022
direct,1024,1000,total,13.351,13.177,13.669
direct,16384,1000,validate,10.686,8.019,14.184
direct,16384,1000,authorize,0.129,0.098,0.176
direct,16384,1000,execute,35.208,23.305,35.438
direct,16384,1000,filter,0.036,0.024,0.065
direct,16384,1000,total,46.059,31.601,50.843
approval,128,1000,validate,7.661,7.437,8.796
approval,128,1000,authorize,0.085,0.085,0.102
approval,128,1000,execute,4.746,4.611,5.816
approval,128,1000,filter,0.024,0.021,0.022
approval,128,1000,total,12.517,12.151,15.606
approval,1024,1000,validate,7.477,7.411,7.568
approval,1024,1000,authorize,0.079,0.076,0.090
approval,1024,1000,execute,5.689,5.643,5.817
approval,1024,1000,filter,0.021,0.021,0.022
approval,1024,1000,total,13.266,13.159,13.448
approval,16384,1000,validate,8.372,7.544,13.777
approval,16384,1000,authorize,0.092,0.087,0.143
approval,16384,1000,execute,29.757,22.206,33.129
approval,16384,1000,filter,0.025,0.022,0.049
approval,16384,1000,total,38.247,29.830,47.253
otp,128,1000,validate,12.931,13.739,14.641
otp,128,1000,authorize,0.130,0.138,0.152
otp,128,1000,execute,7.459,7.823,8.288
otp,128,1000,filter,0.035,0.037,0.043
otp,128,1000,total,20.555,21.708,23.134
otp,1024,1000,validate,7.489,7.433,7.644
otp,1024,1000,authorize,0.084,0.082,0.098
otp,1024,1000,execute,5.707,5.660,5.828
otp,1024,1000,filter,0.020,0.020,0.022
otp,1024,1000,total,13.301,13.189,13.573
otp,16384,1000,validate,7.682,7.469,8.509
otp,16384,1000,authorize,0.083,0.084,0.098
otp,16384,1000,execute,22.905,22.110,23.693
otp,16384,1000,filter,0.023,0.022,0.027
otp,16384,1000,total,30.693,29.688,32.333
anon,128,1000,validate,7.541,7.482,7.695
anon,128,1000,authorize,0.082,0.081,0.092
anon,128,1000,execute,4.622,4.565,4.716
anon,128,1000,filter,1.701,1.688,1.755
anon,128,1000,total,13.946,13.813,14.302
anon,1024,1000,validate,7.739,7.583,7.923
anon,1024,1000,authorize,0.084,0.081,0.100
anon,1024,1000,execute,5.753,5.680,5.859
anon,1024,1000,filter,9.412,9.328,9.684
anon,1024,1000,total,22.988,22.662,24.236
anon,16384,1000,validate,8.149,7.752,10.296
anon,16384,1000,authorize,0.095,0.090,0.147
anon,16384,1000,execute,22.824,22.177,23.938
anon,16384,1000,filter,132.859,132.100,138.271
anon,16384,1000,total,163.928,162.457,171.233
