mode,bytes,iterations,stage,mean_us,p50_us,p95_us
anon,16384,1000,validate,8.131,7.437,8.234
anon,16384,1000,authorize,0.101,0.095,0.131
anon,16384,1000,execute,22.838,21.623,23.194
anon,16384,1000,filter,128.489,127.636,132.096
anon,16384,1000,total,159.560,156.985,162.620
approval,1024,1000,validate,7.339,7.211,7.418
approval,1024,1000,authorize,0.097,0.095,0.117
approval,1024,1000,execute,5.682,5.544,5.749
approval,1024,1000,filter,0.021,0.020,0.029
approval,1024,1000,total,13.140,12.876,13.275
otp,16384,1000,validate,7.855,7.338,11.173
otp,16384,1000,authorize,0.104,0.095,0.144
otp,16384,1000,execute,22.846,21.654,27.615
otp,16384,1000,filter,0.024,0.022,0.031
otp,16384,1000,total,30.829,29.100,39.838
anon,1024,1000,validate,7.518,7.408,7.676
anon,1024,1000,authorize,0.096,0.093,0.120
anon,1024,1000,execute,5.657,5.623,5.767
anon,1024,1000,filter,9.212,9.094,9.389
anon,1024,1000,total,22.482,22.215,23.039
approval,16384,1000,validate,7.783,7.367,8.731
approval,16384,1000,authorize,0.103,0.097,0.139
approval,16384,1000,execute,28.055,21.541,23.334
approval,16384,1000,filter,0.023,0.022,0.027
approval,16384,1000,total,35.963,29.037,32.013
direct,1024,1000,validate,7.261,7.180,7.487
direct,1024,1000,authorize,0.091,0.089,0.103
direct,1024,1000,execute,5.599,5.492,5.695
direct,1024,1000,filter,0.021,0.021,0.024
direct,1024,1000,total,12.971,12.787,13.362
otp,128,1000,validate,7.394,7.240,7.462
otp,128,1000,authorize,0.092,0.089,0.104
otp,128,1000,execute,4.486,4.429,4.533
otp,128,1000,filter,0.020,0.020,0.022
otp,128,1000,total,11.993,11.778,12.271
otp,1024,1000,validate,7.342,7.225,7.433
otp,1024,1000,authorize,0.090,0.086,0.108
otp,1024,1000,execute,5.603,5.545,5.639
otp,1024,1000,filter,0.021,0.021,0.023
otp,1024,1000,total,13.056,12.883,13.183
direct,128,1000,validate,7.275,7.215,7.396
direct,128,1000,authorize,0.095,0.095,0.108
direct,128,1000,execute,4.571,4.482,4.564
direct,128,1000,filter,0.021,0.020,0.023
direct,128,1000,total,11.962,11.814,12.058
approval,128,1000,validate,7.370,7.262,7.412
approval,128,1000,authorize,0.088,0.087,0.099
approval,128,1000,execute,4.510,4.477,4.564
approval,128,1000,filter,0.020,0.020,0.022
approval,128,1000,total,11.988,11.847,12.075
direct,16384,1000,validate,7.672,7.377,8.466
direct,16384,1000,authorize,0.097,0.092,0.121
direct,16384,1000,execute,28.585,21.514,22.996
direct,16384,1000,filter,0.023,0.022,0.026
direct,16384,1000,total,36.377,29.013,31.704
anon,128,1000,validate,7.422,7.359,7.522
anon,128,1000,authorize,0.086,0.084,0.099
anon,128,1000,execute,4.559,4.468,4.547
anon,128,1000,filter,1.754,1.753,1.808
anon,128,1000,total,13.821,13.665,13.977
