mode,bytes,iterations,stage,mean_us,p50_us,p95_us
approval,16384,1000,validate,8.052,7.349,8.990
approval,16384,1000,authorize,0.074,0.070,0.097
approval,16384,1000,execute,29.165,21.656,23.844
approval,16384,1000,filter,0.030,0.022,0.042
approval,16384,1000,total,37.321,29.103,33.099
direct,16384,1000,validate,7.685,7.364,8.992
direct,16384,1000,authorize,0.143,0.072,0.098
direct,16384,1000,execute,28.265,21.641,23.705
direct,16384,1000,filter,0.027,0.022,0.041
direct,16384,1000,total,36.119,29.107,32.816
otp,1024,1000,validate,7.466,7.284,7.489
otp,1024,1000,authorize,0.072,0.070,0.086
otp,1024,1000,execute,5.594,5.513,5.689
otp,1024,1000,filter,0.022,0.020,0.038
otp,1024,1000,total,13.154,12.885,13.263
otp,16384,1000,validate,7.540,7.318,8.246
otp,16384,1000,authorize,0.074,0.070,0.096
otp,16384,1000,execute,22.532,21.586,23.338
otp,16384,1000,filter,0.024,0.021,0.040
otp,16384,1000,total,30.171,29.007,31.899
anon,16384,1000,validate,7.987,7.465,9.709
anon,16384,1000,authorize,0.089,0.082,0.141
anon,16384,1000,execute,22.587,21.676,23.734
anon,16384,1000,filter,130.903,129.350,135.523
anon,16384,1000,total,161.566,158.918,171.497
approval,1024,1000,validate,7.344,7.232,7.459
approval,1024,1000,authorize,0.072,0.069,0.085
approval,1024,1000,execute,5.669,5.544,5.720
approval,1024,1000,filter,0.026,0.020,0.039
approval,1024,1000,total,13.110,12.869,13.228
otp,128,1000,validate,7.280,7.207,7.369
otp,128,1000,authorize,0.072,0.070,0.083
otp,128,1000,execute,4.472,4.422,4.515
otp,128,1000,filter,0.021,0.020,0.039
otp,128,1000,total,11.845,11.721,12.020
direct,128,1000,validate,7.300,7.212,7.333
direct,128,1000,authorize,0.070,0.068,0.082
direct,128,1000,execute,4.499,4.478,4.564
direct,128,1000,filter,0.030,0.038,0.040
direct,128,1000,total,11.898,11.792,12.016
anon,1024,1000,validate,7.517,7.383,7.592
anon,1024,1000,authorize,0.074,0.073,0.082
anon,1024,1000,execute,5.587,5.560,5.687
anon,1024,1000,filter,9.238,9.135,9.497
anon,1024,1000,total,22.417,22.162,22.953
direct,1024,1000,validate,7.885,7.329,11.203
direct,1024,1000,authorize,0.077,0.071,0.099
direct,1024,1000,execute,5.894,5.580,7.391
direct,1024,1000,filter,0.030,0.026,0.041
direct,1024,1000,total,13.887,13.009,18.395
approval,128,1000,validate,7.391,7.173,7.484
approval,128,1000,authorize,0.072,0.066,0.084
approval,128,1000,execute,4.572,4.452,4.706
approval,128,1000,filter,0.021,0.019,0.025
approval,128,1000,total,12.055,11.712,12.854
anon,128,1000,validate,7.241,7.189,7.333
anon,128,1000,authorize,0.076,0.070,0.098
anon,128,1000,execute,4.478,4.445,4.537
anon,128,1000,filter,1.660,1.656,1.715
anon,128,1000,total,13.456,13.363,13.665
