mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,1024,1000,validate,7.566,7.479,7.670
direct,1024,1000,authorize,0.092,0.085,0.107
direct,1024,1000,execute,5.757,5.734,5.883
direct,1024,1000,filter,0.021,0.021,0.023
direct,1024,1000,total,13.435,13.338,13.704
direct,128,1000,validate,7.198,7.138,7.329
direct,128,1000,authorize,0.078,0.076,0.099
direct,128,1000,execute,4.480,4.438,4.562
direct,128,1000,filter,0.020,0.020,0.021
direct,128,1000,total,11.776,11.671,12.001
direct,16384,1000,validate,7.800,7.329,8.393
direct,16384,1000,authorize,0.083,0.077,0.107
direct,16384,1000,execute,28.924,21.668,23.508
direct,16384,1000,filter,0.023,0.022,0.026
direct,16384,1000,total,36.830,29.137,31.994
approval,1024,1000,validate,7.433,7.385,7.571
approval,1024,1000,authorize,0.085,0.085,0.100
approval,1024,1000,execute,5.622,5.600,5.754
approval,1024,1000,filter,0.020,0.020,0.022
approval,1024,1000,total,13.160,13.103,13.399
anon,1024,1000,validate,7.508,7.430,7.673
anon,1024,1000,authorize,0.089,0.088,0.104
anon,1024,1000,execute,5.617,5.585,5.744
anon,1024,1000,filter,9.412,9.307,10.284
anon,1024,1000,total,22.626,22.421,24.770
approval,128,1000,validate,7.327,7.310,7.459
approval,128,1000,authorize,0.076,0.074,0.093
approval,128,1000,execute,4.555,4.545,4.621
approval,128,1000,filter,0.021,0.020,0.022
approval,128,1000,total,11.978,11.954,12.220
otp,128,1000,validate,7.347,7.327,7.469
otp,128,1000,authorize,0.083,0.082,0.086
otp,128,1000,execute,4.499,4.484,4.570
otp,128,1000,filter,0.020,0.020,0.022
otp,128,1000,total,11.949,11.916,12.153
approval,16384,1000,validate,7.555,7.386,7.834
approval,16384,1000,authorize,0.087,0.082,0.106
approval,16384,1000,execute,28.071,21.821,23.143
approval,16384,1000,filter,0.024,0.022,0.030
approval,16384,1000,total,35.738,29.345,31.476
otp,16384,1000,validate,7.538,7.379,7.952
otp,16384,1000,authorize,0.093,0.084,0.108
otp,16384,1000,execute,22.485,21.824,22.943
otp,16384,1000,filter,0.022,0.022,0.025
otp,16384,1000,total,30.139,29.357,31.195
otp,1024,1000,validate,7.419,7.365,7.594
otp,1024,1000,authorize,0.080,0.078,0.089
otp,1024,1000,execute,5.625,5.576,5.740
otp,1024,1000,filter,0.020,0.020,0.022
otp,1024,1000,total,13.144,13.052,13.512
anon,16384,1000,validate,7.911,7.572,9.088
anon,16384,1000,authorize,0.099,0.092,0.129
anon,16384,1000,execute,22.554,22.001,23.356
anon,16384,1000,filter,133.121,131.700,137.919
anon,16384,1000,total,163.684,161.537,170.393
anon,128,1000,validate,7.420,7.335,7.519
anon,128,1000,authorize,0.087,0.083,0.094
anon,128,1000,execute,4.560,4.496,4.588
anon,128,1000,filter,1.656,1.638,1.708
anon,128,1000,total,13.722,13.569,14.036
