mode,bytes,iterations,stage,mean_us,p50_us,p95_us
otp,128,1000,validate,7.644,7.587,7.806
otp,128,1000,authorize,0.086,0.084,0.096
otp,128,1000,execute,4.725,4.698,4.807
otp,128,1000,filter,0.021,0.020,0.022
otp,128,1000,total,12.477,12.398,12.727
anon,16384,1000,validate,10.021,7.371,8.821
anon,16384,1000,authorize,0.097,0.091,0.119
anon,16384,1000,execute,21.874,21.273,22.897
anon,16384,1000,filter,127.468,126.307,135.615
anon,16384,1000,total,159.460,155.141,167.003
otp,1024,1000,validate,7.266,7.147,7.472
otp,1024,1000,authorize,0.085,0.083,0.087
otp,1024,1000,execute,5.549,5.443,5.716
otp,1024,1000,filter,0.020,0.019,0.021
otp,1024,1000,total,12.920,12.680,14.100
direct,128,1000,validate,7.217,7.093,7.645
direct,128,1000,authorize,0.088,0.087,0.092
direct,128,1000,execute,4.444,4.395,4.589
direct,128,1000,filter,0.020,0.019,0.020
direct,128,1000,total,11.769,11.591,12.743
otp,16384,1000,validate,8.661,7.215,8.585
otp,16384,1000,authorize,0.095,0.089,0.122
otp,16384,1000,execute,21.528,21.189,22.930
otp,16384,1000,filter,0.021,0.021,0.025
otp,16384,1000,total,30.306,28.509,31.218
approval,16384,1000,validate,8.072,7.219,8.535
approval,16384,1000,authorize,0.091,0.087,0.114
approval,16384,1000,execute,21.580,21.221,22.973
approval,16384,1000,filter,0.022,0.021,0.024
approval,16384,1000,total,29.765,28.541,31.650
approval,1024,1000,validate,7.230,7.098,7.513
approval,1024,1000,authorize,0.082,0.081,0.085
approval,1024,1000,execute,5.482,5.422,5.681
approval,1024,1000,filter,0.020,0.019,0.021
approval,1024,1000,total,12.813,12.619,13.472
anon,1024,1000,validate,7.343,7.237,7.535
anon,1024,1000,authorize,0.097,0.097,0.108
anon,1024,1000,execute,5.480,5.435,5.592
anon,1024,1000,filter,9.073,8.955,9.465
anon,1024,1000,total,21.993,21.735,23.185
direct,16384,1000,validate,8.182,7.191,8.770
direct,16384,1000,authorize,0.091,0.087,0.117
direct,16384,1000,execute,21.545,21.162,23.224
direct,16384,1000,filter,0.022,0.021,0.026
direct,16384,1000,total,29.841,28.446,31.813
approval,128,1000,validate,7.264,7.089,7.596
approval,128,1000,authorize,0.089,0.087,0.094
approval,128,1000,execute,4.496,4.397,4.669
approval,128,1000,filter,0.020,0.019,0.021
approval,128,1000,total,11.868,11.586,12.978
direct,1024,1000,validate,7.348,7.134,7.742
direct,1024,1000,authorize,0.094,0.090,0.103
direct,1024,1000,execute,5.552,5.450,5.708
direct,1024,1000,filter,0.020,0.019,0.020
direct,1024,1000,total,13.013,12.689,14.120
anon,128,1000,validate,7.457,7.237,8.032
anon,128,1000,authorize,0.089,0.085,0.106
anon,128,1000,execute,4.519,4.397,4.691
anon,128,1000,filter,1.700,1.657,1.745
anon,128,1000,total,13.765,13.367,15.108
