mode,bytes,warmup,seed,execution_order
otp,128,0,105,0
anon,16384,0,105,1
otp,1024,0,105,2
direct,128,0,105,3
otp,16384,0,105,4
approval,16384,0,105,5
approval,1024,0,105,6
anon,1024,0,105,7
direct,16384,0,105,8
approval,128,0,105,9
direct,1024,0,105,10
anon,128,0,105,11
