mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,7.637,7.403,9.345
direct,128,1000,authorize,0.085,0.081,0.110
direct,128,1000,execute,4.779,4.657,5.998
direct,128,1000,filter,0.038,0.021,0.028
direct,128,1000,total,12.539,12.164,15.027
direct,1024,1000,validate,7.422,7.151,7.783
direct,1024,1000,authorize,0.084,0.084,0.092
direct,1024,1000,execute,5.605,5.479,5.938
direct,1024,1000,filter,0.020,0.019,0.021
direct,1024,1000,total,13.131,12.735,14.378
direct,16384,1000,validate,9.128,7.095,8.514
direct,16384,1000,authorize,0.087,0.082,0.105
direct,16384,1000,execute,21.855,21.161,22.982
direct,16384,1000,filter,0.022,0.021,0.024
direct,16384,1000,total,31.092,28.355,31.425
approval,128,1000,validate,7.080,7.014,7.179
approval,128,1000,authorize,0.074,0.070,0.091
approval,128,1000,execute,4.388,4.336,4.436
approval,128,1000,filter,0.019,0.019,0.020
approval,128,1000,total,11.561,11.440,11.748
approval,1024,1000,validate,7.172,7.038,7.353
approval,1024,1000,authorize,0.077,0.074,0.086
approval,1024,1000,execute,5.486,5.406,5.627
approval,1024,1000,filter,0.025,0.026,0.031
approval,1024,1000,total,12.760,12.546,13.840
approval,16384,1000,validate,8.276,7.245,9.121
approval,16384,1000,authorize,0.085,0.081,0.114
approval,16384,1000,execute,21.902,21.445,23.633
approval,16384,1000,filter,0.023,0.021,0.028
approval,16384,1000,total,30.286,28.794,33.385
otp,128,1000,validate,7.104,7.009,7.219
otp,128,1000,authorize,0.078,0.074,0.089
otp,128,1000,execute,4.402,4.350,4.458
otp,128,1000,filter,0.020,0.019,0.023
otp,128,1000,total,11.604,11.452,11.855
otp,1024,1000,validate,7.261,7.027,8.421
otp,1024,1000,authorize,0.077,0.073,0.090
otp,1024,1000,execute,5.547,5.394,5.844
otp,1024,1000,filter,0.022,0.019,0.021
otp,1024,1000,total,12.908,12.509,14.380
otp,16384,1000,validate,8.465,7.081,8.647
otp,16384,1000,authorize,0.084,0.079,0.105
otp,16384,1000,execute,21.371,21.056,22.915
otp,16384,1000,filter,0.022,0.021,0.025
otp,16384,1000,total,29.941,28.245,31.359
anon,128,1000,validate,7.134,7.057,7.289
anon,128,1000,authorize,0.091,0.088,0.110
anon,128,1000,execute,4.406,4.365,4.471
anon,128,1000,filter,1.630,1.613,1.671
anon,128,1000,total,13.260,13.129,13.574
anon,1024,1000,validate,7.315,7.154,7.543
anon,1024,1000,authorize,0.085,0.083,0.102
anon,1024,1000,execute,5.481,5.411,5.572
anon,1024,1000,filter,9.043,8.955,9.381
anon,1024,1000,total,21.924,21.602,23.310
anon,16384,1000,validate,8.931,7.416,9.266
anon,16384,1000,authorize,0.094,0.087,0.129
anon,16384,1000,execute,21.495,21.124,23.050
anon,16384,1000,filter,127.754,125.509,136.392
anon,16384,1000,total,158.274,154.294,172.531
