protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armA_fixed_none,s4,direct,128B,128,1000,0,0,12.539,12.164,15.027,19.251,12.154,12.172
E2_armA_fixed_none,s4,direct,1KiB,1024,1000,0,1,13.131,12.735,14.378,22.305,12.719,12.755
E2_armA_fixed_none,s4,direct,16KiB,16384,1000,0,2,31.092,28.355,31.425,43.866,28.334,28.380
E2_armA_fixed_none,s4,approval,128B,128,1000,0,3,11.561,11.440,11.748,13.481,11.434,11.447
E2_armA_fixed_none,s4,approval,1KiB,1024,1000,0,4,12.760,12.546,13.840,17.237,12.538,12.553
E2_armA_fixed_none,s4,approval,16KiB,16384,1000,0,5,30.286,28.794,33.385,57.180,28.767,28.828
E2_armA_fixed_none,s4,otp,128B,128,1000,0,6,11.604,11.452,11.855,14.825,11.446,11.460
E2_armA_fixed_none,s4,otp,1KiB,1024,1000,0,7,12.908,12.509,14.380,21.475,12.497,12.522
E2_armA_fixed_none,s4,otp,16KiB,16384,1000,0,8,29.941,28.245,31.359,58.681,28.230,28.260
E2_armA_fixed_none,s4,anon,128B,128,1000,0,9,13.260,13.129,13.574,15.273,13.121,13.138
E2_armA_fixed_none,s4,anon,1KiB,1024,1000,0,10,21.924,21.602,23.310,28.733,21.587,21.618
E2_armA_fixed_none,s4,anon,16KiB,16384,1000,0,11,158.274,154.294,172.531,222.740,154.067,154.486
