mode,bytes,iterations,stage,mean_us,p50_us,p95_us
anon,16384,1000,validate,8.488,7.634,9.793
anon,16384,1000,authorize,0.105,0.097,0.147
anon,16384,1000,execute,23.288,22.128,23.933
anon,16384,1000,filter,134.435,132.665,143.290
anon,16384,1000,total,166.316,162.783,177.724
approval,16384,1000,validate,7.829,7.513,9.153
approval,16384,1000,authorize,0.085,0.078,0.115
approval,16384,1000,execute,28.893,22.062,24.897
approval,16384,1000,filter,0.024,0.023,0.029
approval,16384,1000,total,36.831,29.685,33.700
otp,1024,1000,validate,7.485,7.402,7.686
otp,1024,1000,authorize,0.086,0.087,0.102
otp,1024,1000,execute,5.728,5.650,5.809
otp,1024,1000,filter,0.021,0.021,0.023
otp,1024,1000,total,13.320,13.151,13.662
approval,128,1000,validate,7.391,7.345,7.522
approval,128,1000,authorize,0.080,0.077,0.089
approval,128,1000,execute,4.566,4.524,4.648
approval,128,1000,filter,0.021,0.021,0.023
approval,128,1000,total,12.058,11.967,12.270
direct,128,1000,validate,7.532,7.386,7.682
direct,128,1000,authorize,0.086,0.087,0.097
direct,128,1000,execute,4.617,4.555,4.701
direct,128,1000,filter,0.023,0.022,0.029
direct,128,1000,total,12.259,12.051,12.661
anon,1024,1000,validate,7.804,7.591,8.931
anon,1024,1000,authorize,0.098,0.096,0.125
anon,1024,1000,execute,5.847,5.737,5.967
anon,1024,1000,filter,9.676,9.514,10.161
anon,1024,1000,total,23.426,22.961,26.535
approval,1024,1000,validate,7.544,7.513,7.687
approval,1024,1000,authorize,0.076,0.074,0.091
approval,1024,1000,execute,5.716,5.705,5.811
approval,1024,1000,filter,0.021,0.021,0.023
approval,1024,1000,total,13.357,13.336,13.604
otp,16384,1000,validate,7.814,7.514,9.015
otp,16384,1000,authorize,0.084,0.080,0.105
otp,16384,1000,execute,22.800,22.150,23.968
otp,16384,1000,filter,0.024,0.023,0.027
otp,16384,1000,total,30.722,29.771,32.902
direct,16384,1000,validate,7.859,7.549,9.095
direct,16384,1000,authorize,0.086,0.082,0.115
direct,16384,1000,execute,28.999,22.196,24.349
direct,16384,1000,filter,0.024,0.023,0.027
direct,16384,1000,total,36.968,29.871,33.386
direct,1024,1000,validate,7.633,7.496,7.788
direct,1024,1000,authorize,0.083,0.078,0.098
direct,1024,1000,execute,5.718,5.650,5.817
direct,1024,1000,filter,0.022,0.021,0.026
direct,1024,1000,total,13.456,13.258,13.747
otp,128,1000,validate,7.526,7.410,7.682
otp,128,1000,authorize,0.080,0.077,0.094
otp,128,1000,execute,4.616,4.534,4.688
otp,128,1000,filter,0.023,0.020,0.022
otp,128,1000,total,12.244,12.043,12.555
anon,128,1000,validate,7.595,7.503,7.743
anon,128,1000,authorize,0.085,0.082,0.101
anon,128,1000,execute,4.611,4.554,4.673
anon,128,1000,filter,1.705,1.692,1.774
anon,128,1000,total,13.997,13.837,14.288
