mode,bytes,iterations,stage,mean_us,p50_us,p95_us
approval,16384,1000,validate,14.485,7.334,8.805
approval,16384,1000,authorize,0.075,0.070,0.097
approval,16384,1000,execute,22.859,21.589,23.758
approval,16384,1000,filter,0.022,0.021,0.029
approval,16384,1000,total,37.441,29.032,33.007
anon,128,1000,validate,7.521,7.426,7.613
anon,128,1000,authorize,0.074,0.071,0.090
anon,128,1000,execute,4.590,4.552,4.670
anon,128,1000,filter,1.730,1.714,1.805
anon,128,1000,total,13.914,13.774,14.219
direct,16384,1000,validate,8.650,7.451,10.429
direct,16384,1000,authorize,0.078,0.072,0.104
direct,16384,1000,execute,22.591,22.076,24.369
direct,16384,1000,filter,0.023,0.022,0.030
direct,16384,1000,total,31.343,29.640,34.364
otp,16384,1000,validate,8.955,7.457,9.627
otp,16384,1000,authorize,0.079,0.072,0.101
otp,16384,1000,execute,22.468,22.104,23.973
otp,16384,1000,filter,0.023,0.022,0.030
otp,16384,1000,total,31.525,29.660,33.554
direct,128,1000,validate,7.340,7.283,7.461
direct,128,1000,authorize,0.070,0.068,0.084
direct,128,1000,execute,4.550,4.521,4.613
direct,128,1000,filter,0.020,0.020,0.022
direct,128,1000,total,11.981,11.903,12.137
anon,16384,1000,validate,9.130,7.679,9.413
anon,16384,1000,authorize,0.087,0.082,0.116
anon,16384,1000,execute,22.350,22.123,23.347
anon,16384,1000,filter,133.104,132.996,137.809
anon,16384,1000,total,164.671,163.206,169.864
otp,128,1000,validate,7.447,7.361,7.565
otp,128,1000,authorize,0.072,0.070,0.085
otp,128,1000,execute,4.558,4.517,4.608
otp,128,1000,filter,0.020,0.020,0.021
otp,128,1000,total,12.097,11.967,12.289
anon,1024,1000,validate,7.628,7.504,7.786
anon,1024,1000,authorize,0.077,0.075,0.093
anon,1024,1000,execute,5.706,5.654,5.821
anon,1024,1000,filter,9.434,9.385,9.730
anon,1024,1000,total,22.846,22.611,23.725
direct,1024,1000,validate,7.578,7.491,7.740
direct,1024,1000,authorize,0.073,0.071,0.087
direct,1024,1000,execute,5.748,5.702,5.886
direct,1024,1000,filter,0.021,0.020,0.022
direct,1024,1000,total,13.420,13.301,13.763
otp,1024,1000,validate,7.539,7.432,7.633
otp,1024,1000,authorize,0.072,0.070,0.084
otp,1024,1000,execute,5.689,5.621,5.758
otp,1024,1000,filter,0.020,0.020,0.022
otp,1024,1000,total,13.320,13.146,13.493
approval,1024,1000,validate,7.469,7.383,7.612
approval,1024,1000,authorize,0.073,0.070,0.086
approval,1024,1000,execute,5.655,5.619,5.766
approval,1024,1000,filter,0.020,0.020,0.022
approval,1024,1000,total,13.217,13.093,13.466
approval,128,1000,validate,7.418,7.363,7.535
approval,128,1000,authorize,0.072,0.070,0.088
approval,128,1000,execute,4.572,4.539,4.640
approval,128,1000,filter,0.020,0.020,0.021
approval,128,1000,total,12.082,11.996,12.289
