protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armD_randomized_discarded,s3,direct,16KiB,16384,1000,200,0,37.822,29.764,38.038,49.341,29.679,29.859
E2_armD_randomized_discarded,s3,direct,1KiB,1024,1000,200,1,12.712,12.600,12.942,14.898,12.593,12.606
E2_armD_randomized_discarded,s3,approval,16KiB,16384,1000,200,2,35.853,28.913,32.898,55.161,28.769,29.012
E2_armD_randomized_discarded,s3,approval,1KiB,1024,1000,200,3,13.177,12.909,14.208,21.038,12.902,12.920
E2_armD_randomized_discarded,s3,otp,1KiB,1024,1000,200,4,12.819,12.619,13.497,16.373,12.613,12.631
E2_armD_randomized_discarded,s3,approval,128B,128,1000,200,5,11.749,11.554,12.901,14.022,11.540,11.566
E2_armD_randomized_discarded,s3,anon,128B,128,1000,200,6,13.347,13.158,14.258,16.798,13.140,13.181
E2_armD_randomized_discarded,s3,otp,16KiB,16384,1000,200,7,29.474,28.412,31.068,35.070,28.400,28.424
E2_armD_randomized_discarded,s3,anon,16KiB,16384,1000,200,8,156.726,154.733,163.698,198.878,154.490,155.063
E2_armD_randomized_discarded,s3,otp,128B,128,1000,200,9,11.911,11.741,12.402,17.789,11.723,11.755
E2_armD_randomized_discarded,s3,direct,128B,128,1000,200,10,11.627,11.505,12.375,13.572,11.496,11.512
E2_armD_randomized_discarded,s3,anon,1KiB,1024,1000,200,11,22.074,21.803,23.287,25.702,21.749,21.840
