mode,bytes,warmup,seed,execution_order
direct,16384,200,203,0
direct,1024,200,203,1
approval,16384,200,203,2
approval,1024,200,203,3
otp,1024,200,203,4
approval,128,200,203,5
anon,128,200,203,6
otp,16384,200,203,7
anon,16384,200,203,8
otp,128,200,203,9
direct,128,200,203,10
anon,1024,200,203,11
