mode,bytes,warmup,seed,execution_order
otp,16384,200,201,0
anon,16384,200,201,1
approval,128,200,201,2
approval,16384,200,201,3
otp,128,200,201,4
anon,128,200,201,5
otp,1024,200,201,6
direct,16384,200,201,7
anon,1024,200,201,8
direct,128,200,201,9
direct,1024,200,201,10
approval,1024,200,201,11
