mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,7.511,7.380,7.713
direct,128,1000,authorize,0.078,0.071,0.089
direct,128,1000,execute,4.662,4.611,4.796
direct,128,1000,filter,0.021,0.020,0.021
direct,128,1000,total,12.271,12.076,12.660
approval,1024,1000,validate,7.509,7.353,7.724
approval,1024,1000,authorize,0.072,0.070,0.086
approval,1024,1000,execute,5.738,5.643,5.909
approval,1024,1000,filter,0.042,0.020,0.022
approval,1024,1000,total,13.361,13.102,14.232
approval,128,1000,validate,7.449,7.367,7.563
approval,128,1000,authorize,0.071,0.068,0.081
approval,128,1000,execute,4.632,4.586,4.682
approval,128,1000,filter,0.021,0.020,0.021
approval,128,1000,total,12.171,12.042,12.324
anon,1024,1000,validate,7.686,7.554,7.872
anon,1024,1000,authorize,0.081,0.077,0.100
anon,1024,1000,execute,5.720,5.670,5.822
anon,1024,1000,filter,9.479,9.408,9.717
anon,1024,1000,total,22.966,22.722,24.088
anon,16384,1000,validate,10.377,7.726,10.530
anon,16384,1000,authorize,0.095,0.088,0.145
anon,16384,1000,execute,22.847,22.157,24.413
anon,16384,1000,filter,131.788,130.899,137.097
anon,16384,1000,total,165.107,161.069,171.606
direct,16384,1000,validate,8.776,7.526,10.280
direct,16384,1000,authorize,0.101,0.072,0.126
direct,16384,1000,execute,22.564,22.112,24.864
direct,16384,1000,filter,0.024,0.022,0.038
direct,16384,1000,total,31.464,29.753,36.007
anon,128,1000,validate,7.643,7.477,7.960
anon,128,1000,authorize,0.076,0.071,0.096
anon,128,1000,execute,4.655,4.581,4.811
anon,128,1000,filter,1.720,1.685,1.800
anon,128,1000,total,14.094,13.810,15.111
otp,128,1000,validate,7.483,7.400,7.642
otp,128,1000,authorize,0.072,0.069,0.078
otp,128,1000,execute,4.608,4.569,4.702
otp,128,1000,filter,0.021,0.020,0.021
otp,128,1000,total,12.183,12.057,12.478
otp,1024,1000,validate,7.518,7.426,7.647
otp,1024,1000,authorize,0.077,0.072,0.090
otp,1024,1000,execute,5.719,5.662,5.780
otp,1024,1000,filter,0.021,0.020,0.022
otp,1024,1000,total,13.335,13.190,13.561
direct,1024,1000,validate,7.541,7.447,7.664
direct,1024,1000,authorize,0.070,0.068,0.076
direct,1024,1000,execute,5.654,5.621,5.779
direct,1024,1000,filter,0.021,0.020,0.022
direct,1024,1000,total,13.286,13.155,13.514
otp,16384,1000,validate,8.826,7.531,8.376
otp,16384,1000,authorize,0.073,0.069,0.086
otp,16384,1000,execute,22.181,22.070,23.052
otp,16384,1000,filter,0.023,0.022,0.024
otp,16384,1000,total,31.103,29.707,31.924
approval,16384,1000,validate,8.393,7.524,8.778
approval,16384,1000,authorize,0.074,0.070,0.088
approval,16384,1000,execute,22.317,22.080,23.705
approval,16384,1000,filter,0.023,0.022,0.028
approval,16384,1000,total,30.808,29.721,32.174
