protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armA_fixed_none,s1,direct,128B,128,1000,0,0,13.123,12.464,18.763,21.969,12.454,12.471
E2_armA_fixed_none,s1,direct,1KiB,1024,1000,0,1,13.434,13.047,14.956,21.716,13.035,13.058
E2_armA_fixed_none,s1,direct,16KiB,16384,1000,0,2,31.957,29.420,32.189,52.623,29.319,29.536
E2_armA_fixed_none,s1,approval,128B,128,1000,0,3,12.094,12.027,12.286,14.069,11.998,12.048
E2_armA_fixed_none,s1,approval,1KiB,1024,1000,0,4,13.380,13.263,13.603,16.833,13.253,13.272
E2_armA_fixed_none,s1,approval,16KiB,16384,1000,0,5,30.766,29.627,32.834,56.081,29.603,29.648
E2_armA_fixed_none,s1,otp,128B,128,1000,0,6,12.171,12.131,12.340,14.150,12.122,12.136
E2_armA_fixed_none,s1,otp,1KiB,1024,1000,0,7,13.325,13.216,13.552,16.667,13.207,13.227
E2_armA_fixed_none,s1,otp,16KiB,16384,1000,0,8,31.473,29.616,33.852,63.052,29.585,29.640
E2_armA_fixed_none,s1,anon,128B,128,1000,0,9,13.853,13.793,14.095,15.700,13.779,13.804
E2_armA_fixed_none,s1,anon,1KiB,1024,1000,0,10,23.125,23.013,23.542,25.607,23.002,23.024
E2_armA_fixed_none,s1,anon,16KiB,16384,1000,0,11,163.996,161.436,169.070,223.250,161.262,161.652
