mode,bytes,warmup,seed,execution_order
anon,128,0,102,0
otp,16384,0,102,1
approval,128,0,102,2
direct,16384,0,102,3
approval,1024,0,102,4
direct,128,0,102,5
otp,1024,0,102,6
direct,1024,0,102,7
anon,1024,0,102,8
anon,16384,0,102,9
approval,16384,0,102,10
otp,128,0,102,11
