mode,bytes,iterations,stage,mean_us,p50_us,p95_us
anon,128,1000,validate,7.768,7.623,7.992
anon,128,1000,authorize,0.103,0.101,0.127
anon,128,1000,execute,4.739,4.677,4.824
anon,128,1000,filter,1.805,1.774,1.870
anon,128,1000,total,14.415,14.185,15.225
otp,16384,1000,validate,10.308,7.561,10.402
otp,16384,1000,authorize,0.101,0.094,0.132
otp,16384,1000,execute,23.277,22.229,24.991
otp,16384,1000,filter,0.024,0.022,0.030
otp,16384,1000,total,33.709,29.893,35.314
approval,128,1000,validate,7.484,7.366,7.648
approval,128,1000,authorize,0.093,0.091,0.101
approval,128,1000,execute,4.608,4.547,4.671
approval,128,1000,filter,0.021,0.020,0.022
approval,128,1000,total,12.205,12.017,12.617
direct,16384,1000,validate,8.578,7.550,9.037
direct,16384,1000,authorize,0.102,0.092,0.139
direct,16384,1000,execute,22.513,22.122,23.909
direct,16384,1000,filter,0.023,0.022,0.030
direct,16384,1000,total,31.216,29.802,33.287
approval,1024,1000,validate,7.595,7.489,7.713
approval,1024,1000,authorize,0.097,0.097,0.109
approval,1024,1000,execute,5.768,5.740,5.869
approval,1024,1000,filter,0.021,0.021,0.022
approval,1024,1000,total,13.482,13.377,13.722
direct,128,1000,validate,7.537,7.398,7.643
direct,128,1000,authorize,0.094,0.090,0.113
direct,128,1000,execute,4.717,4.610,4.754
direct,128,1000,filter,0.021,0.021,0.022
direct,128,1000,total,12.370,12.115,12.531
otp,1024,1000,validate,7.927,7.566,10.721
otp,1024,1000,authorize,0.099,0.094,0.123
otp,1024,1000,execute,5.990,5.789,7.466
otp,1024,1000,filter,0.022,0.021,0.026
otp,1024,1000,total,14.038,13.467,18.249
direct,1024,1000,validate,7.732,7.459,10.457
direct,1024,1000,authorize,0.098,0.094,0.124
direct,1024,1000,execute,5.909,5.745,7.721
direct,1024,1000,filter,0.022,0.021,0.029
direct,1024,1000,total,13.761,13.344,18.028
anon,1024,1000,validate,7.288,7.132,7.513
anon,1024,1000,authorize,0.096,0.091,0.115
anon,1024,1000,execute,5.526,5.450,5.697
anon,1024,1000,filter,8.991,8.918,9.304
anon,1024,1000,total,21.901,21.594,23.387
anon,16384,1000,validate,8.839,7.270,9.423
anon,16384,1000,authorize,0.105,0.098,0.150
anon,16384,1000,execute,21.536,21.154,22.915
anon,16384,1000,filter,127.209,125.560,133.191
anon,16384,1000,total,157.689,154.311,166.045
approval,16384,1000,validate,8.062,7.157,8.599
approval,16384,1000,authorize,0.097,0.090,0.128
approval,16384,1000,execute,21.462,21.070,23.229
approval,16384,1000,filter,0.023,0.022,0.029
approval,16384,1000,total,29.644,28.339,32.182
otp,128,1000,validate,7.135,7.003,7.491
otp,128,1000,authorize,0.091,0.087,0.102
otp,128,1000,execute,4.432,4.367,4.606
otp,128,1000,filter,0.020,0.020,0.021
otp,128,1000,total,11.679,11.468,12.536
