mode,bytes,iterations,stage,mean_us,p50_us,p95_us
anon,128,1000,validate,7.602,7.489,7.768
anon,128,1000,authorize,0.088,0.087,0.098
anon,128,1000,execute,4.595,4.548,4.704
anon,128,1000,filter,1.673,1.657,1.737
anon,128,1000,total,13.959,13.800,14.908
otp,16384,1000,validate,8.014,7.406,7.954
otp,16384,1000,authorize,0.081,0.078,0.104
otp,16384,1000,execute,22.585,21.634,22.752
otp,16384,1000,filter,0.024,0.023,0.029
otp,16384,1000,total,30.705,29.140,31.262
approval,16384,1000,validate,7.825,7.472,9.180
approval,16384,1000,authorize,0.081,0.077,0.106
approval,16384,1000,execute,28.543,21.659,23.484
approval,16384,1000,filter,0.023,0.022,0.028
approval,16384,1000,total,36.473,29.220,32.858
direct,128,1000,validate,7.372,7.355,7.530
direct,128,1000,authorize,0.078,0.078,0.083
direct,128,1000,execute,4.537,4.522,4.603
direct,128,1000,filter,0.021,0.020,0.023
direct,128,1000,total,12.008,11.991,12.236
approval,1024,1000,validate,7.475,7.355,7.758
approval,1024,1000,authorize,0.081,0.081,0.088
approval,1024,1000,execute,5.633,5.548,5.820
approval,1024,1000,filter,0.021,0.021,0.024
approval,1024,1000,total,13.210,12.985,13.686
approval,128,1000,validate,7.349,7.296,7.539
approval,128,1000,authorize,0.079,0.079,0.083
approval,128,1000,execute,4.492,4.455,4.607
approval,128,1000,filter,0.020,0.020,0.022
approval,128,1000,total,11.940,11.850,12.355
otp,1024,1000,validate,7.498,7.393,7.689
otp,1024,1000,authorize,0.078,0.076,0.092
otp,1024,1000,execute,5.693,5.587,5.799
otp,1024,1000,filter,0.021,0.021,0.024
otp,1024,1000,total,13.291,13.077,13.713
direct,16384,1000,validate,7.635,7.411,8.669
direct,16384,1000,authorize,0.082,0.077,0.108
direct,16384,1000,execute,28.274,21.560,23.073
direct,16384,1000,filter,0.023,0.022,0.025
direct,16384,1000,total,36.014,29.073,32.016
anon,1024,1000,validate,7.580,7.452,7.926
anon,1024,1000,authorize,0.087,0.084,0.100
anon,1024,1000,execute,5.688,5.644,5.812
anon,1024,1000,filter,9.189,9.135,9.455
anon,1024,1000,total,22.544,22.368,23.906
anon,16384,1000,validate,7.996,7.653,9.690
anon,16384,1000,authorize,0.095,0.088,0.144
anon,16384,1000,execute,22.485,22.021,23.576
anon,16384,1000,filter,130.254,130.117,135.619
anon,16384,1000,total,160.829,160.110,167.897
direct,1024,1000,validate,7.426,7.348,7.554
direct,1024,1000,authorize,0.085,0.081,0.094
direct,1024,1000,execute,5.643,5.610,5.723
direct,1024,1000,filter,0.023,0.022,0.026
direct,1024,1000,total,13.176,13.070,13.461
otp,128,1000,validate,7.280,7.215,7.412
otp,128,1000,authorize,0.075,0.074,0.079
otp,128,1000,execute,4.506,4.482,4.592
otp,128,1000,filter,0.020,0.020,0.021
otp,128,1000,total,11.882,11.791,12.095
