protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armB_fixed_discarded,s2,direct,128B,128,1000,200,0,12.134,11.906,12.683,14.782,11.874,11.941
E2_armB_fixed_discarded,s2,direct,1KiB,1024,1000,200,1,13.265,13.209,13.460,15.055,13.201,13.217
E2_armB_fixed_discarded,s2,direct,16KiB,16384,1000,200,2,37.117,29.042,31.659,91.125,29.029,29.058
E2_armB_fixed_discarded,s2,approval,128B,128,1000,200,3,12.339,11.753,15.734,18.493,11.746,11.761
E2_armB_fixed_discarded,s2,approval,1KiB,1024,1000,200,4,13.064,12.917,13.195,14.956,12.908,12.924
E2_armB_fixed_discarded,s2,approval,16KiB,16384,1000,200,5,35.970,29.009,32.432,56.576,28.994,29.020
E2_armB_fixed_discarded,s2,otp,128B,128,1000,200,6,11.849,11.740,12.008,13.322,11.734,11.748
E2_armB_fixed_discarded,s2,otp,1KiB,1024,1000,200,7,13.106,12.885,13.279,16.677,12.879,12.892
E2_armB_fixed_discarded,s2,otp,16KiB,16384,1000,200,8,30.280,28.984,32.071,50.559,28.971,28.997
E2_armB_fixed_discarded,s2,anon,128B,128,1000,200,9,13.986,13.604,14.904,22.636,13.591,13.616
E2_armB_fixed_discarded,s2,anon,1KiB,1024,1000,200,10,22.472,22.167,23.372,25.936,22.148,22.181
E2_armB_fixed_discarded,s2,anon,16KiB,16384,1000,200,11,160.226,158.259,165.523,223.854,157.936,158.496
