mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,7.789,7.362,11.553
direct,128,1000,authorize,0.082,0.077,0.118
direct,128,1000,execute,4.832,4.587,6.892
direct,128,1000,filter,0.022,0.020,0.031
direct,128,1000,total,12.725,12.049,18.591
direct,1024,1000,validate,7.551,7.203,8.846
direct,1024,1000,authorize,0.078,0.075,0.091
direct,1024,1000,execute,5.709,5.495,6.752
direct,1024,1000,filter,0.021,0.020,0.024
direct,1024,1000,total,13.360,12.791,15.453
direct,16384,1000,validate,7.642,7.176,8.434
direct,16384,1000,authorize,0.079,0.075,0.093
direct,16384,1000,execute,28.452,21.155,22.895
direct,16384,1000,filter,0.023,0.022,0.029
direct,16384,1000,total,36.195,28.423,31.027
approval,128,1000,validate,7.119,7.053,7.318
approval,128,1000,authorize,0.075,0.075,0.087
approval,128,1000,execute,4.401,4.366,4.468
approval,128,1000,filter,0.021,0.019,0.022
approval,128,1000,total,11.616,11.510,11.952
approval,1024,1000,validate,7.149,7.086,7.307
approval,1024,1000,authorize,0.075,0.075,0.079
approval,1024,1000,execute,5.434,5.399,5.561
approval,1024,1000,filter,0.020,0.020,0.022
approval,1024,1000,total,12.679,12.583,12.993
approval,16384,1000,validate,7.741,7.212,8.881
approval,16384,1000,authorize,0.080,0.077,0.098
approval,16384,1000,execute,28.173,21.272,24.071
approval,16384,1000,filter,0.023,0.022,0.030
approval,16384,1000,total,36.018,28.579,33.646
otp,128,1000,validate,7.096,7.033,7.264
otp,128,1000,authorize,0.074,0.073,0.085
otp,128,1000,execute,4.360,4.335,4.445
otp,128,1000,filter,0.019,0.019,0.021
otp,128,1000,total,11.550,11.467,11.823
otp,1024,1000,validate,7.162,7.107,7.303
otp,1024,1000,authorize,0.075,0.073,0.085
otp,1024,1000,execute,5.455,5.409,5.553
otp,1024,1000,filter,0.021,0.020,0.023
otp,1024,1000,total,12.713,12.610,12.966
otp,16384,1000,validate,7.409,7.125,7.783
otp,16384,1000,authorize,0.078,0.075,0.089
otp,16384,1000,execute,22.106,21.153,22.961
otp,16384,1000,filter,0.023,0.021,0.032
otp,16384,1000,total,29.616,28.359,30.819
anon,128,1000,validate,7.271,7.228,7.504
anon,128,1000,authorize,0.080,0.079,0.085
anon,128,1000,execute,4.422,4.387,4.510
anon,128,1000,filter,1.625,1.618,1.692
anon,128,1000,total,13.398,13.307,13.889
anon,1024,1000,validate,7.312,7.228,7.503
anon,1024,1000,authorize,0.086,0.086,0.090
anon,1024,1000,execute,5.465,5.415,5.574
anon,1024,1000,filter,8.982,8.903,9.503
anon,1024,1000,total,21.846,21.657,23.175
anon,16384,1000,validate,8.109,7.395,12.321
anon,16384,1000,authorize,0.094,0.080,0.173
anon,16384,1000,execute,22.372,21.217,27.579
anon,16384,1000,filter,130.525,126.157,171.410
anon,16384,1000,total,161.099,155.024,214.673
